"Organisation"	"Peering Contact"	"Switch"	"AS number"	"LAN"	"ISP (v4)"	"ISP (v6)"	"Multicast"	"MDX"	"Peers with route server"	"Location"	"Connection"	"Policy"	"Speed"
"Gorannet ISP"	"peering@gorannet.net"	"PXC-EVO-162"	"51018"	"ISP"	"80.249.213.12"	"2001:7f8:1::a505:1018:2"	"no"	"no"	"no"	"EvoSwitch"	"LR"	"open"	"10GE"
"Grapeshot Ltd"	"sysadmin@grapeshot.com"	"PXC-EQ3-145"	"200981"	"ISP"	"80.249.212.195"	""	"no"	"no"	"no"	"Equinix AM3"	"LR"	"case-by-case"	"10GE"
"Grapeshot Ltd"	"sysadmin@grapeshot.com"	"PXC-EQ3-153"	"200981"	"ISP"	"80.249.212.196"	""	"no"	"no"	"no"	"Equinix AM3"	"LR"	"case-by-case"	"10GE"
"Green.ch AG"	"peering@green.ch"	"PXC-SAR-102"	"1836"	"ISP"	"80.249.208.192"	"2001:7f8:1::a500:1836:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Greenhost"	"peering@greenhost.nl"	"phys-20100122-126-003"	"47172"	"ISP"	"80.249.211.78"	"2001:7f8:1::a504:7172:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"Green Mini host BV"	"peering@greenmini.nl"	"mynl-phys-5344"	"205668"	"ISP"	"80.249.213.117"	"2001:7f8:1:0:a500:20:5668:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"5FE"
"Grifonline S.r.l."	"peering@grifonline.it"	"EDGE-SAR-010"	"43942"	"ISP"	"80.249.211.49"	"2001:7f8:1::a504:3942:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LX"	"open"	"1GE"
"GTT Communications, Inc."	"peering@gtt.net"	"PXC-TEL-120"	"3257"	"ISP"	"80.249.208.85"	"2001:7f8:1::a500:3257:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"Gulfnet"	"alaa.naifa@gulfnet.com.kw"	"mym6-phys-3416"	"3225"	"ISP"	"80.249.211.105"	"2001:7f8:1::a500:3225:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2GE"
"Gyron Internet Ltd."	"peering@gyron.net"	"phys-20101021-125-001"	"29017"	"ISP"	"80.249.209.84"	"2001:7f8:1::a502:9017:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"Selective"	"2GE"
"H3G spa"	"peering@h3g.it"	"PXC-SAR-134"	"24608"	"ISP"	"80.249.211.79"	"2001:7f8:1::a502:4608:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"H3G spa"	"peering@h3g.it"	"PXC-SAR-134"	"24608"	"ISP"	"80.249.211.79"	"2001:7f8:1::a502:4608:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"H3G spa"	"peering@h3g.it"	"PXC-SAR-134"	"24608"	"ISP"	"80.249.211.79"	"2001:7f8:1::a502:4608:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"H4Hosting BV"	"peering@h4hosting.eu"	"EDGE-NIK-011"	"51050"	"ISP"	"80.249.210.62"	"2001:7f8:1::a505:1050:1"	"no"	"no"	"yes"	"NIKHEF"	"SX"	"open"	"1GE"
"HeLi NET Telekommunikation GmbH & Co. KG"	"peering@helinet.de"	"PXC-TEL-140"	"12355"	"ISP"	"80.249.208.76"	"2001:7f8:1::a501:2355:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"HERE Global BV"	"peering@here.com"	"PXC-TEL-115"	"1248"	"ISP"	"80.249.209.238"	"2001:7f8:1::a500:1248:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Hetzner Online AG"	"peering@hetzner.de"	"PXC-NIK-127"	"24940"	"ISP"	"80.249.209.55"	"2001:7f8:1::a502:4940:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"open"	"100GE"
"HEXANET"	"peering@hexanet.fr"	"mym6-phys-2090"	"34863"	"ISP"	"80.249.210.45"	"2001:7f8:1::a503:4863:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"2FE"
"Hi3G Access AB"	"daniel.wiberg@tre.se"	"mym6-phys-2403-3591"	"44034"	"ISP"	"80.249.210.213"	"2001:7f8:1::a504:4034:1"	"no"	"no"	"yes"	"NIKHEF"	""	"selective"	"20GE"
"HighSpeed Office Limited"	"peering@goscomb.net"	"PXC-NIK-126"	"39326"	"ISP"	"80.249.209.107"	"2001:7f8:1::a503:9326:1"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-GLO-117"	"12989"	"ISP"	"80.249.208.94"	"2001:7f8:1::a501:2989:1"	"no"	"no"	"yes"	"Global Switch"	"LR4"	"selective"	"100GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-GLO-117"	"12989"	"ISP"	"80.249.208.94"	"2001:7f8:1::a501:2989:1"	"no"	"no"	"yes"	"Global Switch"	"LR4"	"selective"	"100GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-GLO-149"	"12989"	"ISP"	"80.249.209.70"	"2001:7f8:1::a501:2989:2"	"no"	"no"	"yes"	"Global Switch"	"LR4"	"selective"	"100GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-GLO-149"	"12989"	"ISP"	"80.249.209.70"	"2001:7f8:1::a501:2989:2"	"no"	"no"	"yes"	"Global Switch"	"LR4"	"selective"	"100GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-NIK-126"	"33438"	"ISP"	"80.249.213.122"	"2001:7f8:1::a503:3438:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"selective"	"100GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-NIK-126"	"33438"	"ISP"	"80.249.213.122"	"2001:7f8:1::a503:3438:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"selective"	"100GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-SAR-148"	"34305"	"ISP"	"80.249.209.174"	"2001:7f8:1::a503:4305:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-SAR-148"	"34305"	"ISP"	"80.249.209.174"	"2001:7f8:1::a503:4305:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-SAR-148"	"34305"	"ISP"	"80.249.209.174"	"2001:7f8:1::a503:4305:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-SAR-148"	"34305"	"ISP"	"80.249.209.174"	"2001:7f8:1::a503:4305:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-SAR-148"	"34305"	"ISP"	"80.249.209.174"	"2001:7f8:1::a503:4305:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Highwinds Network Group, Inc."	"paul.soetens@highwinds.com"	"PXC-SAR-148"	"34305"	"ISP"	"80.249.209.174"	"2001:7f8:1::a503:4305:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Hilf Telecom BV"	"noc@hilftelecom.nl"	"EDGE-EVO-018"	"197985"	"ISP"	"80.249.210.143"	"2001:7f8:1:0:a500:19:7985:1"	"no"	"no"	"yes"	"EvoSwitch"	"LX"	"open"	"1GE"
"Hispaweb"	"noc@hispaweb.net"	"mym6-phys-3790"	"45037"	"ISP"	"80.249.208.253"	""	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Hivane"	"peering@hivane.net"	"mym6-phys-2090"	"34019"	"ISP"	"80.249.210.134"	"2001:7f8:1::a503:4019:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1FE"
"HL komm Telekommunikations GmbH"	"peering@hlkomm.de"	"PXC-SAR-111"	"16097"	"ISP"	"80.249.209.114"	"2001:7f8:1::a501:6097:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Hong Kong Broadband Network Limited  "	"kelvin.hong@hkbn.com.hk"	"EDGE-SAR-010"	"9269"	"ISP"	"80.249.211.117"	"2001:7f8:1::a500:9269:1"	"no"	"no"	"no"	"Interxion Science Park"	"LX"	"custom"	"1GE"
"Hong Kong Broadband Network Limited  "	"kelvin.hong@hkbn.com.hk"	"EDGE-SAR-010"	"9269"	"ISP"	"80.249.211.193"	"2001:7f8:1::a500:9269:2"	"no"	"no"	"no"	"Interxion Science Park"	"LX"	"custom"	"1GE"
"Hostiserver Ltd"	"ncc@hostiserver.com"	"PXC-NIK-133"	"32338"	"ISP"	"80.249.212.151"	"2001:7f8:1::a503:2338:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"HOSTKEY B.V."	"ams-ix@hostkey.com"	"PXC-NIK-127"	"57043"	"ISP"	"80.249.212.7"	"2001:7f8:1::a505:7043:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Hostmaster Ltd."	"peering@ix-host.ru"	"mym6-phys-2403-3591"	"200904"	"ISP"	"80.249.210.191"	"2001:7f8:1:0:a500:20:904:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"5FE"
"Hostnet BV"	"peering@hostnet.nl"	"mym6-phys-1795"	"197902"	"ISP"	"80.249.210.170"	"2001:7f8:1::a519:7902:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1FE"
"Hostopia"	"peering@hostopia.com"	"EDGE-EQ3-020"	"9115"	"ISP"	"80.249.209.127"	"2001:7f8:1::a500:9115:1"	"no"	"no"	"yes"	"Equinix AM3"	"LX"	"open"	"1GE"
"HostPalace Web Solution PVT LTD"	"peering@host-palace.com"	"mynl-phys-4631"	"133229"	"ISP"	"80.249.208.225"	"2001:7f8:1:0:a500:13:3229:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"selective"	"10GE"
"Hostserver GmbH"	"peering@hostserver.de"	"mym6-phys-3762"	"29140"	"ISP"	"80.249.210.17"	"2001:7f8:1::a502:9140:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5FE"
"Host Virtual, Inc"	"peering@vr.org"	"mym6-phys-3790"	"36236"	"ISP"	"80.249.210.142"	"2001:7f8:1::a503:6236:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"http://www.vr.org/peering/"	"2FE"
"Hotel Reservation Service Robert Ragge GmbH"	"network@hrs.de"	"mym6-phys-3679"	"28801"	"ISP"	"80.249.211.139"	"2001:7f8:1::a502:8801:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"HOTNET Internet Services Ltd."	"peering@hotnet.net.il"	"PXC-EVO-143"	"12849"	"ISP"	"80.249.211.75"	"2001:7f8:1::a501:2849:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"HUAWEI TECHNOLOGIES Netherlands B.V."	"gezhihua@huawei.com"	"EDGE-EVO-018"	"200756"	"ISP"	"80.249.213.44"	""	"no"	"no"	"no"	"EvoSwitch"	"LX"	"selective"	"1GE"
"Hub Network Service Limited"	"peering@hns.net"	"phys-20101021-125-001"	"39537"	"ISP"	"80.249.209.194"	"2001:7f8:1::a503:9537:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"Hurricane  Electric"	"peering@he.net"	"PXC-NIK-127"	"6939"	"ISP"	"80.249.209.150"	"2001:7f8:1::a500:6939:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"open"	"100GE"
"Hutchison Global Communications Limited"	"peering-intl@hgc.com.hk"	"PXC-SAR-101"	"9304"	"ISP"	"80.249.210.31"	"2001:7f8:1::a500:9304:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	""	"10GE"
"i3D.net"	"peering@i3d.net"	"mynl-phys-6119"	"49544"	"ISP"	"80.249.208.162"	"2001:7f8:1::a504:9544:1"	"no"	"no"	"yes"	"NIKHEF"	""	"case-by-case"	"70GE"
"I4 Networks"	"noc@netlogics.nl"	"PXC-NIK-146"	"39637"	"ISP"	"80.249.208.188"	"2001:7f8:1::a503:9637:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"I4 Networks"	"noc@netlogics.nl"	"EDGE-NIK-011"	"39637"	"ISP"	"80.249.208.188"	"2001:7f8:1::a503:9637:1"	"no"	"no"	"yes"	"NIKHEF"	"LX"	"open"	"1GE"
"I4 Networks"	"noc@netlogics.nl"	"EDGE-NIK-011"	"39637"	"ISP"	"80.249.208.188"	"2001:7f8:1::a503:9637:1"	"no"	"no"	"yes"	"NIKHEF"	"LX"	"open"	"1GE"
"I-bridge"	"nts@ibridge.nl"	"phys-20100122-126-003"	"197038"	"ISP"	"80.249.208.177"	""	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"2FE"
"Iceland Telecom Ltd."	"peering@simnet.is"	"PXC-TC5-144"	"6677"	"ISP"	"80.249.210.138"	"2001:7f8:1::a500:6677:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"ICT Facilities E.U. B.V."	"noc@mijnasp.nl"	"EDGE-TEL-012"	"51646"	"ISP"	"80.249.210.101"	"2001:7f8:1::a505:1646:1"	"no"	"no"	"yes"	"Equinix AM7"	"SX"	"open"	"1GE"
"IDKOM Networks GmbH"	""	"mym6-phys-3679"	"12931"	"ISP"	"80.249.213.78"	"2001:7f8:1::a501:2931:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"IDNet Ltd"	"peering@idnet.com"	"mym6-phys-2368"	"12496"	"ISP"	"80.249.208.141"	"2001:7f8:1::a501:2496:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"IELO"	"peers@ielo.net"	"PXC-TEL-120"	"29075"	"ISP"	"80.249.208.27"	"2001:7f8:1::a502:9075:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"IN2IP B.V."	"peering@in2ip.nl"	"PXC-NIK-127"	"34141"	"ISP"	"80.249.209.136"	""	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Incapsula Inc."	"peering@incapsula.com"	"PXC-TC5-156"	"19551"	"ISP"	"80.249.208.124"	"2001:7f8:1::a501:9551:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Index Exchange Inc."	"peering@indexexchange.com"	"PXC-EQ3-160"	"27381"	"ISP"	"80.249.211.230"	"2001:7f8:1::a502:7381:1"	"no"	"no"	"no"	"Equinix AM3"	"LR"	"open"	"10GE"
"Index Exchange Inc."	"peering@indexexchange.com"	"PXC-EQ3-160"	"27381"	"ISP"	"80.249.211.230"	"2001:7f8:1::a502:7381:1"	"no"	"no"	"no"	"Equinix AM3"	"LR"	"open"	"10GE"
"Index Exchange Inc."	"peering@indexexchange.com"	"PXC-EQ3-160"	"27381"	"ISP"	"80.249.211.230"	"2001:7f8:1::a502:7381:1"	"no"	"no"	"no"	"Equinix AM3"	"LR"	"open"	"10GE"
"Indosat Singapore Pte"	"ip.tac@indosat.com"	"PXC-EVO-143"	"4761"	"ISP"	"80.249.210.222"	"2001:7f8:1::a500:4761:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"x"	"10GE"
"Inerail"	"peering@inerail.net"	"mym6-phys-1390"	"33031"	"ISP"	"80.249.208.224"	"2001:7f8:1::a503:3031:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"case-by-case"	"1GE"
"iNES GROUP"	"peering@ines.ro"	"mym6-phys-3790"	"12310"	"ISP"	"80.249.210.5"	"2001:7f8:1::a501:2310:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5FE"
"@Inet Technology Consultancy BV"	"peering@atinet.nl"	"EDGE-GLO-013"	"34215"	"ISP"	"80.249.209.40"	""	"no"	"no"	"no"	"Global Switch"	"TX"	"case-by-case"	"1FE"
"Infinity Telecom SRL"	"peers@infinitytelecom.ro"	"EDGE-EVO-018"	"56654"	"ISP"	"80.249.208.158"	""	"no"	"no"	"yes"	"EvoSwitch"	"LX"	"selective"	"1GE"
"Info.nl"	"infopeering@info.nl"	"PXC-DR1-168"	"20953"	"ISP"	"80.249.208.203"	"2001:7f8:1::a502:953:1"	"no"	"no"	"no"	"Digital Realty AMS01"	"LR"	"open"	"10GE"
"Info.nl"	"infopeering@info.nl"	"EDGE-SAR-010"	"20953"	"ISP"	"80.249.208.203"	"2001:7f8:1::a502:953:1"	"no"	"no"	"no"	"Interxion Science Park"	"LX"	"open"	"1GE"
"InfoPact Netwerkdiensten BV"	"peering@infopact.nl"	"PXC-GLO-135"	"21221"	"ISP"	"80.249.208.102"	"2001:7f8:1::a502:1221:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"InfoPact Netwerkdiensten BV"	"peering@infopact.nl"	"PXC-NIK-127"	"21221"	"ISP"	"80.249.212.123"	"2001:7f8:1::a502:1221:2"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Infostrada"	"noc@as34756.net"	"PXC-TC5-163"	"34756"	"ISP"	"80.249.210.97"	"2001:7f8:1::a503:4756:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"open"	"100GE"
"Infostrada"	"noc@as34756.net"	"PXC-EQ3-153"	"34756"	"ISP"	"80.249.211.216"	"2001:7f8:1::a503:4756:2"	"no"	"no"	"yes"	"Equinix AM3"	"LR4"	"open"	"100GE"
"Infracom Internet B.V."	"peering@infracom.nl"	"EDGE-NIK-011"	"8587"	"ISP"	"80.249.209.71"	"2001:7f8:1::a500:8587:1"	"no"	"no"	"yes"	"NIKHEF"	"SX"	"open"	"1GE"
"Infracom Italia SpA"	"bb.ipmpls@infracom.it"	"mym6-phys-1350-6127"	"3302"	"ISP"	"80.249.210.136"	""	"no"	"no"	"yes"	"Digital Realty AMS01"	""	"open"	"2FE"
"Ingenico e-Commerce Solutions SPRL/BVBA"	"DL_system@ecom.ingenico.com"	"mym6-phys-4209-2962"	"62325"	"ISP"	"80.249.210.215"	"2001:7f8:1::a506:2325:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"closed"	"2FE"
"Init Seven"	"peering@init7.net"	"PXC-SAR-111"	"13030"	"ISP"	"80.249.208.210"	"2001:7f8:1::a501:3030:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Init Seven"	"peering@init7.net"	"PXC-NIK-126"	"13030"	"ISP"	"80.249.210.210"	"2001:7f8:1::a501:3030:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Innsbrucker Kommunalbetriebe AG"	"peering@ikbnet.at"	"EDGE-NIK-011"	"31510"	"ISP"	"80.249.213.75"	"2001:7f8:1::a503:1510:1"	"no"	"no"	"yes"	"NIKHEF"	"LX"	"open"	"1GE"
"Instart Logic"	"peering@instartlogic.com"	"PXC-TC5-159"	"33047"	"ISP"	"80.249.212.213"	""	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"open"	"10GE"
"Integral Ad Science"	"network@integralads.com"	"PXC-EQX-154"	"7415"	"ISP"	"80.249.211.226"	""	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"closed"	"10GE"
"Integral Ad Science"	"network@integralads.com"	"PXC-EQX-154"	"7415"	"ISP"	"80.249.211.227"	""	"no"	"no"	"no"	"Equinix AM1/2"	"LR"	"closed"	"10GE"
"INTELLIT AS"	"peering@intellit.no"	"mym6-phys-3790"	"50272"	"ISP"	"80.249.211.241"	"2001:7f8:1::a505:272:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"InterBox Internet"	"noc@box.nl"	"phys-20100122-126-003"	"16298"	"ISP"	"80.249.208.183"	"2001:7f8:1::a501:6298:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1FE"
"Intercloud SAS"	"peering@intercloud.fr"	"mym6-phys-2090"	"197981"	"ISP"	"80.249.210.221"	"2001:7f8:1:0:a500:19:7981:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1GE"
"Interconnect Services BV"	"t.verhaeg@interconnect.nl"	"PXC-TEL-119"	"9150"	"ISP"	"80.249.208.139"	"2001:7f8:1::a500:9150:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Interconnect Services BV"	"t.verhaeg@interconnect.nl"	"PXC-GLO-149"	"9150"	"ISP"	"80.249.209.179"	"2001:7f8:1::a500:9150:2"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Intermax BV"	"peering@intermax.nl"	"EDGE-SAR-010"	"24586"	"ISP"	"80.249.209.41"	"2001:7f8:1::a502:4586:1"	"no"	"no"	"yes"	"Interxion Science Park"	"SX"	"open"	"1GE"
"Intermax BV"	"peering@intermax.nl"	"EDGE-TC5-019"	"24586"	"ISP"	"80.249.210.107"	"2001:7f8:1::a502:4586:2"	"no"	"no"	"yes"	"Equinix AM5"	"LX"	"open"	"1GE"
"Internap Network Services Corp."	"peering@internap.com"	"PXC-EQX-139"	"29791"	"ISP"	"80.249.209.187"	"2001:7f8:1::a502:9791:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Internap Network Services Corp."	"peering@internap.com"	"PXC-EQX-139"	"29791"	"ISP"	"80.249.209.187"	"2001:7f8:1::a502:9791:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Internap Network Services Corp."	"peering@internap.com"	"PXC-EQX-139"	"29791"	"ISP"	"80.249.209.187"	"2001:7f8:1::a502:9791:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Internet Central Ltd"	"peering@ic.co.uk"	"mynl-phys-3690"	"6717"	"ISP"	"80.249.210.169"	"2001:7f8:1::a500:6717:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5FE"
"Internet Systems Consortium (ISC)"	"peering@isc.org"	"EDGE-NIK-011"	"30132"	"ISP"	"80.249.208.111"	"2001:7f8:1::a503:132:1"	"no"	"no"	"yes"	"NIKHEF"	"TX"	""	"1GE"
"Internet Systems Consortium (ISC)"	"peering@isc.org"	"EDGE-NIK-011"	"30132"	"ISP"	"80.249.208.140"	"2001:7f8:1::a503:132:2"	"no"	"no"	"yes"	"NIKHEF"	"TX"	""	"1GE"
"Interoute Managed Services"	"peering@interoute.net"	"PXC-NIK-127"	"8928"	"ISP"	"80.249.208.175"	"2001:7f8:1::a500:8928:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	""	"10GE"
"Interoute Managed Services"	"peering@interoute.net"	"PXC-NIK-127"	"8928"	"ISP"	"80.249.208.175"	"2001:7f8:1::a500:8928:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	""	"10GE"
"Interoute Managed Services"	"peering@interoute.net"	"PXC-NIK-127"	"8928"	"ISP"	"80.249.208.175"	"2001:7f8:1::a500:8928:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	""	"10GE"
"Interoute Managed Services"	"peering@interoute.net"	"PXC-GLO-149"	"8928"	"ISP"	"80.249.208.81"	"2001:7f8:1::a500:8928:1"	"no"	"no"	"no"	"Global Switch"	"LR"	""	"10GE"
"Interoute Managed Services"	"peering@interoute.net"	"PXC-GLO-149"	"8928"	"ISP"	"80.249.208.81"	"2001:7f8:1::a500:8928:1"	"no"	"no"	"no"	"Global Switch"	"LR"	""	"10GE"
"Interoute Managed Services"	"peering@interoute.net"	"PXC-GLO-149"	"8928"	"ISP"	"80.249.208.81"	"2001:7f8:1::a500:8928:1"	"no"	"no"	"no"	"Global Switch"	"LR"	""	"10GE"
"InterRacks CV (handelsnaam InterDC)"	"roland.kamphuis@interdc.nl"	"mym6-phys-3084"	"42093"	"ISP"	"80.249.208.232"	"2001:7f8:1::a504:2093:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"Invitech megoldások Zrt."	"peering@invitel.net"	"PXC-GLO-149"	"12301"	"ISP"	"80.249.210.49"	"2001:7f8:1::a501:2301:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Invitech megoldások Zrt."	"peering@invitel.net"	"PXC-GLO-149"	"12301"	"ISP"	"80.249.210.49"	"2001:7f8:1::a501:2301:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"IPHH Internet Port Hamburg GmbH"	"peering@iphh.net"	"mym6-phys-3790"	"12731"	"ISP"	"80.249.208.226"	"2001:7f8:1::a501:2731:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"2FE"
"IP-Max SA"	"peering@ip-max.net"	"mym6-phys-2090"	"25091"	"ISP"	"80.249.210.135"	"2001:7f8:1::a502:5091:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"2FE"
"IP-Only Networks"	"peering@ip-only.se"	"PXC-TEL-105"	"12552"	"ISP"	"80.249.209.235"	"2001:7f8:1::a501:2552:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	""	"10GE"
"IP-Only Networks"	"peering@ip-only.se"	"PXC-TEL-105"	"12552"	"ISP"	"80.249.209.235"	"2001:7f8:1::a501:2552:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	""	"10GE"
"IP Route Srl"	"info@iproute.it"	"mym6-phys-3840"	"49289"	"ISP"	"80.249.208.201"	"2001:7f8:1::a504:9289:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"5FE"
"IP Serverone Solutions Sdn. Bhd."	"peering@ipserverone.com"	"mym6-phys-4165"	"45352"	"ISP"	"80.249.212.191"	""	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1FE"
"IPSet SARL"	"supporttechnique@ipset.fr"	"mym6-phys-3747"	"199275"	"ISP"	"80.249.208.147"	"2001:7f8:1:0:a500:19:9275:1"	"no"	"no"	"yes"	"InterXion"	""	"open"	"1FE"
"IPTP Networks "	"peering@iptp.net"	"mynl-phys-6075"	"41095"	"ISP"	"80.249.209.196"	"2001:7f8:1::a504:1095:1"	"no"	"no"	"yes"	"NIKHEF"	""	"case-by-case"	"60GE"
"IP Transit, Inc."	"bk@iptransit.com"	"PXC-EVO-143"	"46786"	"ISP"	"80.249.211.47"	"2001:7f8:1::a504:6786:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR4"	"case-by-case"	"100GE"
"ISC Politie "	""	"EDGE-TEL-012"	"16147"	"ISP"	"80.249.208.170"	""	"no"	"no"	"no"	"Equinix AM7"	"SX"	""	"1GE"
"ISC Politie "	""	"EDGE-GLO-013"	"16147"	"ISP"	"80.249.209.170"	""	"no"	"no"	"no"	"Global Switch"	"SX"	""	"1GE"
"ISP Alliance a.s."	"ladislav.ruzicka@ispalliance.cz"	"mym6-phys-4165"	"47232"	"ISP"	"80.249.213.98"	"2001:7f8:1::a504:7232:1"	"no"	"no"	"no"	"NIKHEF"	""	"open"	"3GE"
"ISPpro Internet KG"	"peering@as35366.net"	"EDGE-TC5-019"	"35366"	"ISP"	"80.249.209.134"	"2001:7f8:1::a503:5366:1"	"no"	"no"	"yes"	"Equinix AM5"	"LX"	"open"	"1GE"
